tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1324757122681372672g,"@MrLockDown7 @NoCensorNoShame Defending Colin Kaepernick Paul Wall? Verbally saying, typing &amp; retweeting BLM, Paul Wall? https://t.co/SGfVocBH6S",http://pbs.twimg.com/tweet_video_thumb/EmJ7k-nXgAAlv-q.jpg,NA,NA,NA,NA,NA,NA,blm,black,NA,NA,NA,NA
1268961745932029965g,I am officially a celebrity photographer 💪🏾 thanks to @ZyahnaB for believing in me ! It’s always black women holding us down !!! She deserves this moment and I’m honored to be apart for real . I didn’t see this coming at all . https://t.co/jfLYEwiyL4,http://pbs.twimg.com/media/EZxB8EwWAAErOax.jpg,NA,NA,NA,NA,NA,NA,black women,black,NA,NA,NA,NA
1267844316938018816g,"@JoeBiden Ur one of the biggest racist, If not then ur unfit for any office. U have made racist gaffes since 1988 check youtube, I mean a person could only have so many gaffes before denying they aren't racist. Whens ur last 7eleven trip? U laughed at that racist joke to the reporter. https://t.co/W8J3JuHhx5",http://pbs.twimg.com/media/EZhJrxMWkAMQ7js.jpg,bi,bisexual,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1229804922952011776g,"@nedryun In a Show of Unity about their Concerns for the Independence of the DOJ.... Over 2,000 former Bi-Partisan DOJ Officials have signed the Letter Calling for Barr to Resign. https://t.co/Tfs6vxM8g4",http://pbs.twimg.com/media/ERElDq2U0AE_Aaw.jpg,bi,bisexual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1265834571800678400g,Frustrating... #racism #changeisneeded https://t.co/ulVN3Dsith,http://pbs.twimg.com/media/EZEl00iX0AAFdus.jpg,NA,NA,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1269946880223518722g,"When I heard George Floyd CRY OUT for his Momma that CUT ME TO MY SOUL!!! This is why as Mother's, as Parents WE NEED to stand up against ALL injustice!! So we can stop living in fear for our sons and daughters. #MakeYourVoiceHeard #BlackLivesMatter #SaveOurBlackChildren #BLM https://t.co/xJgHS8lbC1",http://pbs.twimg.com/media/EZ_B849XYAIOomB.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,blm,black
1274899819316813825g,"Fixed the image I have been seeing going around. Yes, while it is important to note that police are killing innocent people, it is also just as important to know that people who break the law don’t deserve to be killed by police either. #blm https://t.co/LlyA5OqasB",http://pbs.twimg.com/media/EbFaoH_XYAAHdbB.jpg,NA,NA,NA,NA,NA,NA,blm,black,NA,NA,NA,NA
1272415587893940226g,#BlueLivesMatter https://t.co/f4bPJ01yIp,http://pbs.twimg.com/media/EaiHOm0XsAsHk0Z.jpg,NA,NA,NA,NA,NA,NA,bluelivesmatter,black,NA,NA,NA,NA
1245462627955941381g,"Covid-19 originated in 2 bio labs that experimented on bats with the virus, known as Intermediate Horseshoe Bat, there are no colonies of the bat, within 900km of Wuhan, neither is there evidence of the horseshoe bat sold in any Wuhan wet market. 👇From a chinese health paper https://t.co/tsiQ6ze3qQ",http://pbs.twimg.com/media/EUjFpheXgAcJgOr.jpg,bi,bisexual,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1218289176430297088g,When you’re on the train and the only black man https://t.co/sLIKTM5wnr,http://pbs.twimg.com/tweet_video_thumb/EOg7i45UEAI69-Q.jpg,NA,NA,NA,NA,NA,NA,black man,black,NA,NA,NA,NA
