image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345116143506358283g.png,Tonight! Yes in the middle of drag race! Come hang! #live #gay #poscast #funny #Instagram #beargay #NewYear2021 #NewYear #NewYork https://t.co/qS7ri1KSBe
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345116589469933571g.png,Wednesday was a Moroccan themed Surprise birthday dinner for a lucky lady. Cheers to all the thoughtful boyfriends🥂 https://t.co/o8Uba1KVDg
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345116629340971008g.png,"Ése que está ahí, no es el negro más buenmoso del país, pero si, el único que queda virgen !!! https://t.co/j4w59KpWux"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345122643440111616g.png,Back at it again at Neko Stop ✨🐱 If you ever wanted to support this family-owned Japanese store now would be an excellent time!! Some of our ceiling fell recently and there was a lot of water damage :’) https://t.co/qkGgxYckBr
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345124200248442880g.png,"🏳️‍⚧️ new year, new pronouns? 🏳️‍⚧️ my gender journey is still very much in progress, but I know that for now I want to try out they/them/theirs. I recognize that it can be overwhelming when people change their pronouns, but be patient. We’re just trying to figure out what feels best. https://t.co/Xjwk1if7w5"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345126675244191744g.png,"@FLOTUS Normally I would tell you that you’re a fucking racist birther who should go to hell. But it’s a new year. So I wish you the best in prison, darling! @realDonaldTrump https://t.co/28xsLRGslw"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345128286914019329g.png,BRUH I KNOW ITS NOT THIS NIGGA💀💀💀💀 https://t.co/vsmHx5jy4j
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345129455459602432g.png,Anyone dumb enough to marry @AlecBaldwin is already not dealing with reality so #hilariabaldwin and her fake #LatinX #SideHustle doesn’t surprise us one bit...at least she got 5kids for her #performance !! #hilarious #alec https://t.co/JisH5waqS4
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345135063101550595g.png,Rebranding for 2021! #blacklove #fashioncouple #fashionpair #coupleswithstyle https://t.co/Cswlbl2H9O
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345145416971653126g.png,these whites breakdancing ... #TinyPrettyThings https://t.co/EAIe5Xr2Zu
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345146645974016005g.png,@chris9941839409 @gigirunner @reginamrie @SalemPoliceDept @Salem_Statesman Yes blm protesters have been arrested for standing in the road https://t.co/JSncoF2C3W
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345149161994416134g.png,"Moishe’s, the “Mediterranean” restaurant at the Original Farmers Market, is Armenian? I assumed that it was Zionist nonsense, but the owner is apparently an Armenian named Movses. https://t.co/EJzoH2NiXw"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345153187687374848g.png,I ❤️ being Haitian ✨ https://t.co/nzkj7paLHz
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345155986399633408g.png,"Is there a better way to celebrates New Years Day, then Chinese Food from AsianYummy with my Depot Family! https://t.co/KkNdXSTepA"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345160453157232640g.png,"Here again for lunch an inexpensive. All taste yummy. Yin Ji Chang Fen’s ordering line is fast and effective. Here I’m having thousand old egg congee, beef slices separate with plain noodle &amp; soy sauce and Chinese doughnut &amp; condensed milk toast. https://t.co/BlCeXwdMjl"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345161666300837890g.png,Proud Boys on the run amidst word of Antifa a few blocks away in Salem #Salem #Oregon #ProudBoys #Antifa https://t.co/MmSLm9aloP
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345166048203595777g.png,Happy New Year!! I started by watching the incredibly talented @KChenoweth in #Netflix’s #Holidate. I really liked it!! Hope everyone is safe and happy! ❤️ #lgbtq #ftm #artistsontwitter https://t.co/DGuj5RA9K3
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345172199418695680g.png,“Make sure that that thing is not pointed in my direction” Police instruct a Black Lives Matter protester brandishing a paintball gun against the Proud Boys #Salem #Oregon #ProudBoys https://t.co/3CmcGIifQ2
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345172391434063878g.png,Istanbul &amp; fought alongside with Ottoman army against #British sponsored #Arab rebels. Picture below shows Emir Saud with the famous Fakhri Pasha the #Ottoman governor of Madinah along with Arab and Ottoman/#Moorish troops. The Ottoman military included a number of Arab units https://t.co/xZwtojnM8O
