tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1225292389738307585g,"@cenkuygur @BernieSanders We turned out a ton if young 1st time voters, mainly Latinos in white rural NW Iowa. We are still not being reported and I've contacted my Couny leadership. Please see the threads on my page https://t.co/nAqnVK8jNq",http://pbs.twimg.com/media/EQEc7lGUcAAx5DJ.jpg,NA,NA,NA,NA,NA,NA,latino,hispanic,latinos,hispanic,NA,NA
1225324389408919552g,DHS suspends New York state access to travel programs like Global Entey over sanctuary law that allows illegal aliens to obtain drivers licenses. DHS Chief says he no longer has access to information needed to verify documents of New York to ensure safety https://t.co/PeVzXm808Y https://t.co/xVEhUuTntm,http://pbs.twimg.com/media/EQE6CO1U8AAwi_Z.jpg,NA,NA,NA,NA,NA,NA,illegal alien,immigrant,illegal aliens,immigrant,sanctuary,immigrant
1225341834206908416g,A quick summary of #GOLDSTAR #father @RealKhizrKhan #KhizrKhan #NevadaCaucus #stump speech &amp; #caucus #organizing for @JoeForNV @JoeBiden #JoeBiden in @cityofsparks @ the #northern #nevada #Muslim #community center. Check out @ThisIsReno #ThisisReno for the report in #Election2020 https://t.co/yWubILubfm,http://pbs.twimg.com/ext_tw_video_thumb/1225341659161841664/pu/img/7cZvmxWIurSPzJE4.jpg,bi,bisexual,NA,NA,NA,NA,muslim,middle eastern,NA,NA,NA,NA
1225343470484717568g,@revrrlewis @SlimJim2123 Fox is a piece of shit I am so over this racist news Network https://t.co/r0j1EC7B1f,http://pbs.twimg.com/tweet_video_thumb/EQFLYozWoAAi7P6.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1225385149187186693g,"#blackhistorymonth Harlem #Hellfighters 369 Infantry Regiment Founded: June 2, 1913 Motto: ""Don't Tread On Me, God Damn, Lets Go"" Men Of Bronze, Black Rattlers Disbanded: 3 February 1946. WWI - WWII . Despite racism and segregation, they fought hard! Heroes! #harlem https://t.co/yieSELgwfz",http://pbs.twimg.com/media/EQFxTBeXsAEnug5.jpg,NA,NA,NA,NA,NA,NA,racism,minority,NA,NA,NA,NA
1225393520263008257g,"En conmemoración de la Constitución Política de los Estados Unidos mexicanos promulgada el 5 de febrero de 1917, el dia de ayer #Croquistas realizaron un acto cívico en nuestro Instituto Donceles 28. @CROC_Nacional @MachucaCROC @crocqroo @delegacion4croc #NuevaEraCroc https://t.co/4llo880iqc",http://pbs.twimg.com/media/EQF44rbW4AYlZg8.jpg,NA,NA,NA,NA,NA,NA,mex,hispanic,mexican,hispanic,mexicanos,hispanic
1225406264081031168g,"Força Jardel. Ninguém merece esse tipo de lesão, quanto mais uma pessoa que deu TUDO por este clube. Ingratos? Sim há gente assim em todos os clubes mas será que esqueceram deste golo tu marcaste ao nosso rival? Um golo tão importante na conquista do Bi? Eu não esqueço 💪🏻 https://t.co/LHVh6HxkBh",http://pbs.twimg.com/ext_tw_video_thumb/1225406173756710912/pu/img/pt_1cjL_rtxpIM_n.jpg,bi,bisexual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225408224884666368g,"It’s such an honor to be a part of the bi-partisan Florida Women’s Legislative Caucus! Yesterday our meeting focused on bills that we will consider endorsing as a Caucus, events in the community to attend, &amp; collecting menstruation items for a local school. 💪🏽 https://t.co/RJOODfBTZT",http://pbs.twimg.com/media/EQGGR8OXYAIyLM1.jpg,bi,bisexual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225410213764902912g,"*at book club* Chicana: Black people get their stories told all the time. Civil Rights, Slavery, Obama. Why can’t we have OUR story told? Me: Actually, children’s books are more likely to have an animal as the main character than a BIPOC. So that’s that on that. MOVING ON —- https://t.co/nRY8ELPPyE",http://pbs.twimg.com/media/EQGIFx5WsAET_CA.jpg,bi,bisexual,NA,NA,NA,NA,black people,black,slavery,black,bipoc,minority
1225410538819260420g,"Walker’s Legacy Greenville Tribe met to review our DISC assessments. This was valuable so that we know when to lead, when to follow and when to support. Our goal is to be high performing, best in class team in our efforts to create meaningful experiences for WOC. https://t.co/qBCpyrFRTj",http://pbs.twimg.com/media/EQGIYJ2WoAAcnt_.jpg,NA,NA,NA,NA,NA,NA,woc,minority,NA,NA,NA,NA
1225428618123370496g,"As one of the most representative kind of Chinese hot pot, the classic ""Numb and Spicy,"" or mala, hot pot actually originated in Chongqing, Southwest China. Chongqing hot pot is known for its unique flavors as it makes use of local ingredients to flavor the soup. https://t.co/e5ZC0d275L",http://pbs.twimg.com/media/EQGY1GsU8AArIGf.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,spic,hispanic,NA,NA
1225432884992978944g,"“Therefore we must pay much closer attention to what we have heard, lest we drift away from it.” Hebrews 2:1 https://t.co/eXP25nVrir",http://pbs.twimg.com/media/EQGctizXYAEY7DH.jpg,NA,NA,NA,NA,NA,NA,hebrews,middle eastern,NA,NA,NA,NA
1225433968889270274g,@AmbriaHarkey This shit true cuz only mexicans know where to buy this tape https://t.co/SKjXFrNlDA,http://pbs.twimg.com/media/EQGdstyX0AMDC0t.jpg,NA,NA,NA,NA,NA,NA,mex,hispanic,mexican,hispanic,mexicans,hispanic
1225434096442236928g,"""Only the elderly and those with underlying health conditions are dying"" Dr. Li Wenliang was healthy &amp; in his 30's. China &amp; the WHO.. are not telling the full story about this virus!! #WuhanOutbreak #coronavirus #CoronaOutbreak #WuFlu https://t.co/B5YcyyXiaQ",http://pbs.twimg.com/media/EQGd0CSW4AAvXqy.jpg,NA,NA,NA,NA,NA,NA,wuflu,asian,NA,NA,NA,NA
1225436236686536711g,"Li Wenliang, the Wuhan doctor who was one of the first to warn others about coronavirus has died, according to Dingxiangyuan, a famous Chinese medical blog.#丁香园 说，八位散播武汉肺炎谣言的医生 李文亮去世。 https://t.co/uHkMZGvE3o",http://pbs.twimg.com/media/EQGfwtFWoAAXbzU.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1225437810154491905g,Smoked Korean chicken thighs 🦵🌶🍐mmmmmmmmmm 👅 #macona #maconavibes #whyilovecollingswood #notyourtypicalbbq #koreanchicken @davidchang https://t.co/iYgox6aFJp,http://pbs.twimg.com/media/EQGhMJwXsAIGpH6.jpg,NA,NA,NA,NA,NA,NA,korean,asian,NA,NA,NA,NA
1225440433624535042g,Black History@ It’s Finest! Coach Earnest “Big House” Gaines South Carolina State https://t.co/FGrmQV7mAi,http://pbs.twimg.com/media/EQGjlDAXsAERd1Y.jpg,bi,bisexual,NA,NA,NA,NA,black history,black,NA,NA,NA,NA
1225446161923952640g,Saw Mewtwo was trending and was afraid he died or somebody found some old racist tweets of his. https://t.co/f6j81HlsnF,http://pbs.twimg.com/tweet_video_thumb/EQGox4wWoAIDDX5.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1225450053386399745g,"Hace hoy 24 años de esta tragedia, nunca la olvidaremos Dominican Republic - Air crash investigation https://t.co/f1HrntRpvI vía @YouTube https://t.co/1Pm3zveOyf",http://pbs.twimg.com/media/EQGsU5BUwAEMSZS.jpg,NA,NA,NA,NA,NA,NA,dominican,black,NA,NA,NA,NA
1225454924294737920g,Rain won’t keep @FDEStars historians from uncovering the hidden history of African Americans in Loudoun County! @LFC_VA African American Burial Ground for the Enslaved at Belmont https://t.co/GScsc3nQ7z,http://pbs.twimg.com/media/EQGwuGYXYAEjzGB.jpg,NA,NA,NA,NA,NA,NA,african american,black,NA,NA,african americans,black
1225455137767845892g,#ThrowbackThursday when we cruising in the Dominican Republic. The water was so gorgeous there. #tbt #dominicanrepublic #caribbeansea #caribbeanlife #boatinglife #boatingjourney https://t.co/XQKkmi0uoc,http://pbs.twimg.com/media/EQGw8zAU0AAZlwK.jpg,NA,NA,NA,NA,NA,NA,caribbeans,black,dominican,black,NA,NA
